Overall Ranking,College Name,Outomes Ranking,Resources Ranking,Engagement Ranking,Environment Ranking,Average Net Price
401-500,Springfield College,359,331,>600,>600,"$28,453"
401-500,St Ambrose University,401-500,401-500,38,>600,"$24,940"
401-500,St Bonaventure University,501-600,294,501-600,>600,"$22,409"
401-500,St Catherine University,>600,275,134,401-500,"$20,523"
401-500,St Edward's University,501-600,401-500,65,144,"$25,669"
401-500,St John's University-New York,327,>600,401-500,118,"$25,981"
401-500,St Norbert College,356,369,225,>600,"$25,980"
401-500,Stevenson University,401-500,501-600,501-600,347,"$27,904"
401-500,University of Texas at El Paso,401-500,>600,225,100,"$6,785"
401-500,Texas Tech University,314,>600,93,183,"$15,820"
401-500,Trinity Christian College,501-600,401-500,250,401-500,"$22,223"
401-500,Tuskegee University,>600,283,401-500,501-600,"$30,847"
401-500,Utah State University,314,501-600,27,>600,"$12,338"
401-500,West Virginia University,401-500,501-600,250,501-600,"$11,486"
401-500,Western Michigan University,501-600,401-500,93,321,"$15,219"
401-500,Western Washington University,258,>600,134,401-500,"$16,117"
401-500,Wilkes University,401-500,401-500,>600,401-500,"$26,312"
501-600,Abilene Christian University,>600,401-500,225,401-500,"$27,175"
501-600,Adrian College,>600,331,314,>600,"$26,930"
501-600,Albright College,401-500,501-600,>600,252,"$24,673"
501-600,Alfred University,>600,268,501-600,501-600,"$21,566"
501-600,The University of the Arts,>600,206,>600,359,"$39,322"
501-600,Berklee College of Music,>600,229,>600,205,"$41,382"
501-600,Biola University,501-600,501-600,93,190,"$33,206"
501-600,"California State University, Dominguez Hills",342,>600,501-600,40,"$4,957"
501-600,"California State University, Los Angeles",285,>600,501-600,44,"$3,907"
501-600,Central Washington University,375,>600,155,309,"$14,124"
501-600,College of Charleston,401-500,501-600,371,>600,"$19,790"
501-600,Columbus College of Art & Design,>600,294,>600,401-500,"$25,397"
501-600,Concordia University Wisconsin,>600,401-500,155,>600,"$25,849"
501-600,Covenant College,401-500,385,501-600,>600,"$23,353"
501-600,Daemen College,501-600,401-500,332,>600,"$17,181"
501-600,East Carolina University,501-600,501-600,134,393,"$13,327"
501-600,Eastern Connecticut State University,501-600,501-600,>600,252,"$17,670"
501-600,Emerson College,383,401-500,>600,401-500,"$42,070"
501-600,Emmanuel College,501-600,401-500,>600,501-600,"$31,448"
501-600,Georgetown College,501-600,393,401-500,>600,"$19,012"
501-600,Georgia State University,401-500,>600,>600,81,"$15,350"
501-600,Georgian Court University,501-600,501-600,>600,280,"$25,093"
501-600,Hardin-Simmons University,>600,387,155,501-600,"$20,546"
501-600,High Point University,501-600,401-500,250,>600,"$39,101"
501-600,Hood College,>600,358,>600,280,"$24,338"
501-600,University of Houston-Downtown,401-500,>600,501-600,19,"$8,766"
501-600,Humboldt State University,501-600,>600,501-600,183,"$14,140"
501-600,Idaho State University,>600,401-500,134,501-600,"$12,637"
501-600,University of the Incarnate Word,>600,501-600,199,63,"$21,895"
501-600,University of Indianapolis,>600,401-500,76,401-500,"$21,510"
501-600,Kean University,501-600,>600,>600,59,"$16,839"
501-600,LIU Post,401-500,501-600,>600,321,"$28,868"
501-600,La Sierra University,>600,401-500,>600,2,"$25,661"
501-600,University of La Verne,501-600,>600,>600,71,"$27,718"
501-600,Lesley University,>600,331,>600,321,"$31,298"
501-600,Lipscomb University,501-600,364,179,>600,"$25,050"
501-600,Loras College,401-500,401-500,371,>600,"$19,583"
501-600,Manchester University,>600,378,401-500,501-600,"$18,657"
501-600,Manhattanville College,>600,401-500,>600,166,"$23,680"
501-600,University of Mary Washington,306,>600,>600,401-500,"$20,182"
501-600,University of Massachusetts Dartmouth,>600,401-500,>600,215,"$18,184"
501-600,University of Massachusetts Lowell,501-600,501-600,501-600,215,"$18,375"
501-600,University of Memphis,>600,358,401-500,118,"$13,663"
501-600,Mercyhurst University,>600,369,199,>600,"$19,726"
501-600,University of Michigan-Flint,>600,401-500,225,266,"$10,906"
501-600,Morningside College,401-500,>600,401-500,>600,"$22,147"
501-600,College of Mount Saint Vincent,401-500,501-600,>600,118,"$17,534"
501-600,University of Mount Union,501-600,401-500,111,>600,"$23,030"
501-600,Mount Vernon Nazarene University,>600,331,179,>600,"$20,880"
501-600,University of Nebraska Omaha,>600,>600,199,293,"$11,727"
501-600,University of New Hampshire,401-500,501-600,199,>600,"$22,888"
501-600,University of New Haven,501-600,501-600,401-500,244,"$33,665"
501-600,New Mexico State University,>600,401-500,134,71,"$9,449"
501-600,University of North Carolina at Asheville,501-600,401-500,371,>600,"$12,235"
501-600,University of North Carolina at Charlotte,401-500,501-600,371,190,"$14,811"
501-600,University of North Carolina at Greensboro,>600,501-600,134,166,"$10,496"
501-600,North Central College,501-600,501-600,225,501-600,"$25,037"
501-600,Northeastern State University,501-600,>600,250,100,"$8,833"
501-600,Northern Arizona University,501-600,>600,155,252,"$14,901"
501-600,University of Northern Iowa,366,>600,65,>600,"$15,942"
501-600,Northwestern College,501-600,401-500,371,>600,"$23,335"
501-600,Norwich University,501-600,401-500,>600,>600,"$23,801"
501-600,Old Dominion University,501-600,501-600,401-500,135,"$15,213"
501-600,Otterbein University,>600,307,111,>600,"$24,402"
501-600,Portland State University,401-500,>600,401-500,166,"$13,573"
501-600,Queens University of Charlotte,>600,247,332,401-500,"$24,512"
501-600,Ramapo College of New Jersey,359,>600,>600,266,"$16,568"
501-600,Robert Morris University,501-600,401-500,>600,393,"$25,645"
501-600,SUNY College at Brockport,401-500,501-600,314,401-500,"$14,960"
501-600,SUNY Cortland,319,>600,401-500,>600,"$17,958"
501-600,SUNY at Fredonia,>600,401-500,401-500,>600,"$15,704"
501-600,SUNY Geneseo,308,>600,501-600,>600,"$16,958"
501-600,SUNY Oneonta,401-500,>600,401-500,401-500,"$15,687"
501-600,SUNY Oswego,501-600,501-600,285,393,"$16,315"
501-600,SUNY Potsdam,>600,311,>600,371,"$13,812"
501-600,Sacred Heart University,366,501-600,>600,>600,"$40,177"
501-600,Saint Xavier University,401-500,501-600,501-600,190,"$14,911"
501-600,Salisbury University,303,>600,>600,401-500,"$18,374"
501-600,Sam Houston State University,401-500,>600,134,205,"$11,742"
501-600,Schreiner University,>600,401-500,501-600,393,"$17,796"
501-600,Sonoma State University,272,>600,>600,166,"$16,807"
501-600,South Dakota State University,>600,401-500,111,>600,"$18,204"
501-600,Southern Adventist University,>600,501-600,250,321,"$21,511"
501-600,Southern Illinois University Edwardsville,501-600,401-500,501-600,371,"$15,090"
501-600,University of Southern Mississippi,501-600,501-600,250,337,"$12,506"
501-600,Tennessee Technological University,401-500,501-600,>600,401-500,"$14,702"
501-600,Texas A&M International University,312,>600,>600,118,"$4,857"
501-600,University of Texas Rio Grande Valley,401-500,>600,225,118,"$4,095"
501-600,Texas State University,401-500,>600,93,190,"$13,579"
501-600,University of Texas at Tyler,391,>600,501-600,233,"$12,776"
501-600,Texas Woman's University,391,>600,501-600,115,"$9,129"
501-600,Truman State University,344,501-600,>600,>600,"$12,512"
501-600,Waynesburg University,401-500,401-500,>600,>600,"$19,429"
501-600,Wentworth Institute of Technology,320,>600,>600,321,"$37,656"
501-600,West Virginia Wesleyan College,501-600,401-500,332,>600,"$18,362"
501-600,Whitworth University,501-600,401-500,155,>600,"$29,281"
501-600,William Paterson University of New Jersey,>600,501-600,>600,59,"$14,779"
501-600,Wisconsin Lutheran College,501-600,401-500,401-500,>600,"$21,365"
501-600,University of Wisconsin-Milwaukee,>600,501-600,285,215,"$14,445"
>600,University of Akron,>600,501-600,285,359,"$16,863"
>600,Albertus Magnus College,401-500,>600,>600,347,"$24,177"
>600,Alvernia University,>600,501-600,>600,501-600,"$26,895"
>600,Anderson University (South Carolina),>600,>600,27,>600,"$21,816"
>600,Appalachian State University,501-600,>600,65,>600,"$10,473"
>600,Ashland University,>600,501-600,27,501-600,"$20,201"
>600,Ball State University,>600,501-600,16,>600,"$13,535"
>600,Bemidji State University,>600,>600,332,>600,"$14,653"
>600,Benedictine College,501-600,501-600,199,>600,"$24,766"
>600,Bloomsburg University of Pennsylvania,501-600,>600,401-500,501-600,"$16,501"
>600,Boise State University,>600,>600,134,501-600,"$13,363"
>600,Bowling Green State University,>600,>600,11,501-600,"$17,877"
>600,University of Bridgeport,>600,>600,>600,19,"$22,981"
>600,Bridgewater College,501-600,501-600,>600,501-600,"$19,957"
>600,Bridgewater State University,>600,>600,>600,401-500,"$16,667"
>600,CUNY John Jay College of Criminal Justice,>600,501-600,>600,44,"$4,891"
>600,CUNY College of Staten Island,>600,>600,>600,59,"$6,319"
>600,California Baptist University,>600,>600,49,59,"$25,714"
>600,California University of Pennsylvania,>600,>600,>600,501-600,"$17,755"
>600,Carroll University,>600,>600,285,>600,"$23,492"
>600,Carthage College,501-600,401-500,501-600,>600,"$26,874"
>600,Centenary University,501-600,501-600,>600,401-500,"$19,500"
>600,Central Michigan University,>600,>600,38,501-600,"$14,675"
>600,University of Central Missouri,>600,>600,199,501-600,"$12,711"
>600,University of Central Oklahoma,>600,>600,49,205,"$13,995"
>600,Christopher Newport University,401-500,>600,>600,>600,"$22,770"
>600,Clarion University of Pennsylvania,>600,>600,401-500,>600,"$18,409"
>600,Clark Atlanta University,>600,>600,>600,215,"$26,809"
>600,Coastal Carolina University,>600,501-600,401-500,401-500,"$16,224"
>600,University of Colorado Colorado Springs,>600,>600,>600,371,"$15,427"
>600,Colorado Mesa University,>600,>600,501-600,501-600,"$14,309"
>600,Columbia College Chicago,>600,401-500,501-600,321,"$31,484"
>600,Columbus State University,>600,>600,501-600,150,"$11,334"
>600,Concordia University Irvine,401-500,>600,>600,266,"$25,094"
>600,Corban University,>600,>600,>600,>600,"$24,444"
>600,Cornerstone University,>600,>600,401-500,501-600,"$20,475"
>600,Curry College,>600,339,>600,>600,"$30,565"
>600,D'Youville College,>600,229,>600,>600,"$19,780"
>600,Delaware Valley University,>600,501-600,>600,>600,"$29,444"
>600,Drury University,>600,501-600,179,501-600,"$19,706"
>600,University of Dubuque,>600,501-600,401-500,293,"$22,822"
>600,East Central University,>600,>600,>600,150,"$8,795"
>600,East Stroudsburg University,501-600,>600,501-600,293,"$15,402"
>600,East Tennessee State University,>600,401-500,401-500,501-600,"$13,926"
>600,Eastern Kentucky University,>600,501-600,134,>600,"$12,659"
>600,Eastern Michigan University,>600,>600,285,266,"$14,090"
>600,Eastern Washington University,401-500,>600,401-500,266,"$11,393"
>600,Edinboro University,>600,>600,>600,>600,"$15,513"
>600,Endicott College,401-500,>600,314,>600,"$35,097"
>600,Evangel University,>600,>600,225,>600,"$20,976"
>600,Fairleigh Dickinson University,>600,501-600,>600,118,"$16,781"
>600,Ferris State University,501-600,>600,134,>600,"$12,973"
>600,University of Findlay,>600,501-600,76,>600,"$22,430"
>600,Fitchburg State University,>600,501-600,>600,401-500,"$14,649"
>600,Flagler College,501-600,>600,401-500,>600,"$23,473"
>600,Florida Agricultural and Mechanical University,>600,501-600,401-500,244,"$13,529"
>600,Florida Gulf Coast University,401-500,>600,332,337,"$13,456"
>600,Florida Southern College,>600,501-600,401-500,401-500,"$24,888"
>600,Framingham State University,>600,>600,>600,371,"$19,312"
>600,Franciscan University of Steubenville,501-600,401-500,>600,>600,"$25,407"
>600,Franklin Pierce University,>600,401-500,>600,>600,"$26,673"
>600,Freed-Hardeman University,>600,501-600,401-500,>600,"$16,684"
>600,Georgia Southern University,>600,>600,250,309,"$16,264"
>600,Georgia College & State University,>600,>600,401-500,>600,"$20,055"
>600,Grand Valley State University,>600,>600,38,>600,"$16,175"
>600,Harding University,>600,501-600,16,>600,"$19,317"
>600,Heidelberg University,>600,401-500,401-500,>600,"$23,660"
>600,Huntington University,>600,331,285,>600,"$19,219"
>600,Indiana University of Pennsylvania,>600,501-600,371,401-500,"$19,247"
>600,Indiana University-Purdue University Fort Wayne,>600,>600,>600,401-500,"$10,924"
>600,Indiana University Southeast,>600,>600,501-600,501-600,"$9,210"
>600,Indiana State University,>600,>600,371,321,"$11,443"
>600,Johnson & Wales University-Charlotte,>600,>600,>600,166,"$26,021"
>600,Johnson & Wales University-Denver,>600,>600,>600,401-500,"$25,202"
>600,Johnson & Wales University-North Miami,>600,>600,>600,4,"$24,862"
>600,Johnson & Wales University-Providence,>600,>600,>600,293,"$27,165"
>600,Keene State College,>600,501-600,285,>600,"$19,494"
>600,Kennesaw State University,501-600,>600,401-500,190,"$17,929"
>600,Kent State University at Kent,>600,>600,179,401-500,"$18,156"
>600,Kutztown University of Pennsylvania,>600,>600,401-500,401-500,"$20,278"
>600,Lancaster Bible College,401-500,>600,401-500,321,"$21,312"
>600,Lasell College,>600,501-600,>600,337,"$28,441"
>600,Lee University,>600,>600,27,>600,"$16,928"
>600,Lenoir-Rhyne University,>600,401-500,401-500,501-600,"$19,380"
>600,Lindenwood University,>600,>600,250,337,"$17,305"
>600,Lock Haven University,>600,>600,>600,501-600,"$17,191"
>600,University of Louisiana at Lafayette,501-600,>600,401-500,280,"$12,502"
>600,Louisiana Tech University,501-600,>600,155,>600,"$10,683"
>600,University of Maine,>600,401-500,371,>600,"$17,564"
>600,Mansfield University of Pennsylvania,>600,393,>600,>600,"$19,653"
>600,Marshall University,>600,>600,332,501-600,"$9,057"
>600,University of Mary Hardin-Baylor,>600,501-600,49,371,"$24,579"
>600,Marymount Manhattan College,>600,401-500,>600,401-500,"$36,846"
>600,Maryville University,501-600,>600,199,401-500,"$30,921"
>600,Marywood University,>600,387,250,>600,"$25,138"
>600,Mercy College,>600,>600,>600,81,"$16,246"
>600,Metropolitan State University of Denver,>600,>600,250,166,"$12,175"
>600,Middle Tennessee State University,>600,>600,250,252,"$11,916"
>600,Millersville University,501-600,>600,>600,401-500,"$19,731"
>600,University of Minnesota Duluth,501-600,>600,225,>600,"$16,381"
>600,Minnesota State University-Mankato,501-600,>600,179,401-500,"$13,704"
>600,Minnesota State University Moorhead,>600,>600,93,>600,"$15,541"
>600,Mississippi College,>600,501-600,314,401-500,"$17,098"
>600,Missouri State University-Springfield,>600,>600,27,501-600,"$15,173"
>600,Monmouth University,501-600,501-600,>600,501-600,"$31,300"
>600,University of Montana,>600,401-500,501-600,>600,"$13,682"
>600,Montana State University,>600,501-600,>600,>600,"$15,411"
>600,University of Montevallo,>600,401-500,401-500,501-600,"$16,075"
>600,Morehead State University,>600,>600,401-500,>600,"$12,136"
>600,Murray State University,>600,401-500,179,>600,"$11,562"
>600,University of New Orleans,>600,>600,>600,135,"$10,858"
>600,Niagara University,>600,401-500,>600,401-500,"$18,768"
>600,North Carolina Agricultural and Technical State University,>600,>600,179,205,"$11,049"
>600,North Carolina Central University,>600,501-600,>600,205,"$12,687"
>600,University of North Carolina Wilmington,401-500,>600,401-500,501-600,"$16,831"
>600,North Central University,>600,>600,501-600,>600,"$20,993"
>600,University of Northern Colorado,>600,501-600,501-600,401-500,"$15,003"
>600,Northern Kentucky University,>600,>600,250,501-600,"$9,338"
>600,Northern Michigan University,>600,>600,285,>600,"$14,005"
>600,Northwest Missouri State University,>600,>600,93,>600,"$11,778"
>600,Oakland University,>600,>600,199,393,"$13,123"
>600,Oklahoma Christian University,>600,>600,93,>600,"$19,473"
>600,Olivet College,>600,>600,371,501-600,"$20,282"
>600,Olivet Nazarene University,>600,>600,285,>600,"$21,085"
>600,Oral Roberts University,>600,>600,4,107,"$19,744"
>600,Our Lady of the Lake University,>600,376,401-500,150,"$18,469"
>600,Palm Beach Atlantic University,>600,401-500,285,401-500,"$24,052"
>600,Penn State Altoona,501-600,>600,>600,501-600,"$21,469"
>600,Penn State Behrend,501-600,>600,>600,501-600,"$22,578"
>600,Pennsylvania College of Technology,>600,401-500,>600,>600,"$21,006"
>600,University of Pittsburgh-Bradford,501-600,>600,>600,501-600,"$17,883"
>600,University of Pittsburgh-Greensburg,501-600,>600,>600,>600,"$17,336"
>600,University of Pittsburgh-Johnstown,501-600,>600,>600,>600,"$19,144"
>600,Plymouth State University,>600,>600,371,>600,"$22,028"
>600,Point Park University,>600,501-600,401-500,501-600,"$21,832"
>600,Radford University,401-500,>600,>600,501-600,"$13,573"
>600,Rhode Island College,>600,>600,111,293,"$9,008"
>600,SUNY Alfred State College,501-600,>600,>600,501-600,"$15,304"
>600,SUNY Farmingdale State College,401-500,>600,>600,190,"$8,364"
>600,SUNY Purchase College,>600,>600,>600,293,"$18,142"
>600,Saginaw Valley State University,>600,>600,250,371,"$13,991"
>600,The College of Saint Rose,501-600,501-600,>600,401-500,"$22,377"
>600,Salem State University,>600,>600,501-600,233,"$16,970"
>600,Savannah College of Art and Design,501-600,>600,501-600,337,"$41,738"
>600,Shippensburg University,501-600,>600,401-500,501-600,"$19,448"
>600,Slippery Rock University,501-600,>600,501-600,501-600,"$17,557"
>600,University of South Alabama,>600,501-600,401-500,215,"$12,968"
>600,University of South Dakota,>600,401-500,225,>600,"$16,647"
>600,Southeast Missouri State University,>600,>600,250,401-500,"$12,165"
>600,Southeastern Louisiana University,>600,>600,501-600,401-500,"$12,135"
>600,Southern University and A&M College,>600,>600,401-500,233,"$13,668"
>600,Southern Connecticut State University,>600,401-500,>600,233,"$15,234"
>600,University of Southern Indiana,>600,>600,250,>600,"$13,130"
>600,University of Southern Maine,>600,501-600,501-600,>600,"$11,338"
>600,Southern Utah University,501-600,>600,314,>600,"$14,451"
>600,St Cloud State University,>600,>600,332,347,"$13,684"
>600,University of St Francis,501-600,>600,401-500,337,"$18,766"
>600,Stephen F. Austin State University,>600,>600,225,359,"$11,650"
>600,University of Tampa,379,>600,501-600,371,"$29,880"
>600,The University of Tennessee-Chattanooga,>600,>600,>600,401-500,"$14,706"
>600,The University of Tennessee-Martin,>600,501-600,401-500,501-600,"$11,034"
>600,Texas A&M University-Commerce,501-600,>600,401-500,63,"$11,396"
>600,Texas A&M University-Corpus Christi,>600,>600,>600,100,"$12,948"
>600,University of Texas at San Antonio,>600,>600,401-500,71,"$11,861"
>600,Touro College,>600,501-600,>600,401-500,"$22,326"
>600,Trine University,401-500,>600,401-500,501-600,"$23,176"
>600,Utah Valley University,391,>600,134,>600,"$6,690"
>600,Valdosta State University,>600,>600,401-500,215,"$13,978"
>600,Vanguard University,>600,>600,501-600,144,"$21,611"
>600,Weber State University,375,>600,76,>600,"$11,098"
>600,Webster University,>600,501-600,199,371,"$23,835"
>600,West Chester University,383,>600,332,501-600,"$19,348"
>600,University of West Florida,501-600,>600,250,266,"$11,550"
>600,University of West Georgia,>600,>600,>600,252,"$14,351"
>600,West Liberty University,>600,>600,501-600,>600,"$12,293"
>600,Western Carolina University,>600,>600,65,501-600,"$14,456"
>600,Western Connecticut State University,>600,401-500,>600,244,"$16,972"
>600,Western Kentucky University,>600,>600,76,401-500,"$11,817"
>600,Western Oregon University,>600,501-600,>600,309,"$15,898"
>600,Westfield State University,401-500,>600,>600,401-500,"$15,967"
>600,Wichita State University,>600,>600,501-600,293,"$13,541"
>600,Wingate University,>600,401-500,>600,401-500,"$18,094"
>600,Winona State University,401-500,>600,285,>600,"$16,678"
>600,Winthrop University,>600,501-600,332,359,"$16,970"
>600,University of Wisconsin-Eau Claire,401-500,>600,401-500,>600,"$14,398"
>600,University of Wisconsin-Green Bay,>600,>600,>600,501-600,"$12,482"
>600,University of Wisconsin-Oshkosh,>600,>600,285,>600,"$13,092"
>600,University of Wisconsin-Parkside,>600,>600,>600,190,"$9,542"
>600,University of Wisconsin-Platteville,501-600,>600,501-600,>600,"$14,363"
>600,University of Wisconsin-River Falls,501-600,>600,179,>600,"$14,064"
>600,University of Wisconsin-Stevens Point,>600,>600,401-500,>600,"$12,935"
>600,University of Wisconsin-Stout,501-600,>600,501-600,>600,"$14,971"
>600,University of Wisconsin-Whitewater,501-600,>600,401-500,501-600,"$12,422"
>600,Worcester State University,401-500,>600,>600,371,"$15,256"
>600,Wright State University,>600,401-500,501-600,359,"$14,769"
>600,York College of Pennsylvania,401-500,501-600,401-500,>600,"$21,530"
>600,Youngstown State University,>600,>600,155,401-500,"$10,637"
