Overall Ranking,College Name,Outomes Ranking,Resources Ranking,Engagement Ranking,Environment Ranking,Average Net Price
122,Rensselaer Polytechnic Institute,128,130,>600,118,"$37,648"
123,Indiana University Bloomington,75,331,93,393,"$12,488"
123,Syracuse University,115,217,155,266,"$35,306"
125,College of the Holy Cross,125,80,501-600,>600,"$27,005"
126,University of Utah,83,307,38,401-500,"$12,363"
127,Creighton University,151,91,134,501-600,"$31,481"
127,Simmons University,163,105,401-500,280,"$29,690"
129,Villanova University,106,128,199,>600,"$35,491"
130,Rutgers University-New Brunswick,113,339,250,44,"$16,016"
131,American University,115,206,501-600,233,"$32,732"
131,University of Denver,147,117,371,393,"$35,163"
133,Wheaton College (Massachusetts),216,101,285,321,"$31,814"
134,Bentley University,125,161,332,393,"$36,613"
134,Rhodes College,143,95,501-600,501-600,"$29,144"
136,University of Arizona,110,378,76,107,"$15,758"
137,Illinois Institute of Technology,171,169,>600,35,"$26,324"
137,Pepperdine University,138,251,225,150,"$36,372"
139,Rhode Island School of Design,160,113,>600,252,"$39,777"
140,Yeshiva University,151,69,>600,501-600,"$31,873"
141,Sewanee-The University of the South,151,86,501-600,>600,"$34,001"
141,Willamette University,219,115,>600,190,"$33,089"
143,Brigham Young University-Provo,57,401-500,4,>600,"$12,979"
143,Elon University,144,146,16,>600,"$33,754"
143,Hobart and William Smith Colleges,182,87,401-500,501-600,"$42,206"
143,The College of Wooster,193,111,401-500,401-500,"$28,928"
147,University of Georgia,67,501-600,27,401-500,"$15,934"
148,University of Delaware,134,229,93,401-500,"$16,286"
148,Furman University,182,91,250,>600,"$32,951"
150,University of Iowa,121,300,111,393,"$14,845"
150,University of San Diego,131,294,501-600,115,"$38,592"
150,Spelman College,150,206,401-500,266,"$36,190"
153,Catholic University of America,352,44,371,401-500,"$35,214"
153,SUNY Binghamton University,87,401-500,314,115,"$16,775"
155,Berea College,280,133,371,93,"$1,680"
155,Rochester Institute of Technology,233,161,38,347,"$31,376"
157,Sarah Lawrence College,211,101,>600,244,"$39,371"
158,Chapman University,125,317,225,309,"$40,053"
158,University of Colorado Boulder,102,343,250,393,"$20,323"
160,Allegheny College,246,101,401-500,401-500,"$25,415"
160,University of Massachusetts Amherst,123,317,225,359,"$21,281"
160,Ohio Northern University,187,115,93,>600,"$23,932"
160,Stevens Institute of Technology,134,169,>600,371,"$38,469"
164,University of San Francisco,216,302,401-500,27,"$35,270"
165,Marquette University,147,260,65,501-600,"$32,377"
165,Texas Christian University,187,219,16,501-600,"$35,363"
167,Baylor University,244,183,4,401-500,"$37,745"
167,Muhlenberg College,163,140,501-600,501-600,"$37,029"
169,Colorado School of Mines,108,275,>600,401-500,"$25,472"
170,California Institute of the Arts,293,114,>600,118,"$51,199"
170,Samford University,211,157,3,>600,"$30,017"
172,Butler University,176,146,111,>600,"$38,051"
172,University of Detroit Mercy,320,99,401-500,321,"$20,904"
172,Loyola University Chicago,182,302,134,280,"$34,526"
172,Ursinus College,176,177,371,501-600,"$31,812"
176,Fordham University,176,307,285,215,"$38,503"
176,Linfield College - McMinnville campus,233,165,401-500,359,"$28,620"
176,St Olaf College,233,140,285,501-600,"$27,587"
176,Virginia Military Institute,133,150,>600,>600,"$16,085"
176,Washington State University,171,378,49,215,"$17,885"
181,Kalamazoo College,211,219,>600,233,"$28,057"
181,Wheaton College (Illinois),193,157,314,>600,"$30,021"
183,University of Colorado Denver,244,193,501-600,215,"$14,586"
184,George Mason University,98,501-600,401-500,135,"$18,629"
185,Ohio Wesleyan University,327,99,155,501-600,"$28,005"
185,Temple University,265,331,49,107,"$22,940"
187,St Lawrence University,239,117,401-500,>600,"$34,174"
188,Clemson University,115,376,76,>600,"$18,757"
189,"University of California, Riverside",230,385,332,27,"$12,404"
189,Lawrence University,359,91,371,401-500,"$28,180"
189,Westmont College,230,206,401-500,401-500,"$32,699"
192,Gustavus Adolphus College,207,140,401-500,>600,"$29,894"
193,"California Polytechnic State University, San Luis Obispo",70,>600,155,393,"$19,002"
193,Saint Mary's College of California,285,290,93,150,"$33,414"
195,University of Tulsa,401-500,105,93,337,"$25,086"
196,SUNY University at Albany,182,393,501-600,81,"$16,100"
197,Bradley University,255,229,38,501-600,"$25,857"
198,University of the Sciences,383,51,>600,321,"$33,444"
199,Fairfield University,157,270,76,>600,"$37,799"
199,Michigan Technological University,211,200,401-500,501-600,"$17,139"
199,Missouri University of Science and Technology,151,283,>600,401-500,"$14,133"
199,Wofford College,168,155,501-600,>600,"$27,101"
203,Clark University,383,119,501-600,215,"$28,810"
203,Lake Forest College,219,275,>600,215,"$25,646"
205,CUNY City College of New York,320,260,>600,12,"$4,164"
205,Clarkson University,163,193,>600,501-600,"$31,050"
205,University of Oklahoma,200,401-500,111,266,"$20,003"
208,Adelphi University,280,256,501-600,135,"$27,925"
208,Bryant University,147,331,332,501-600,"$34,663"
208,CUNY Hunter College,239,387,>600,19,"$5,215"
208,Drake University,261,150,332,501-600,"$28,277"
208,Florida State University,115,501-600,38,280,"$16,450"
208,Loyola University Maryland,162,237,>600,501-600,"$36,820"
208,University of Portland,151,286,501-600,501-600,"$33,327"
208,Susquehanna University,225,219,401-500,501-600,"$26,869"
208,Washington & Jefferson College,211,169,501-600,>600,"$28,627"
217,Drew University,383,133,>600,135,"$28,876"
218,Southwestern University,291,200,332,371,"$27,008"
219,Miami University,202,401-500,11,401-500,"$20,316"
220,Knox College,401-500,130,501-600,150,"$25,136"
221,DePaul University,233,401-500,65,166,"$32,927"
221,Stonehill College,157,242,401-500,>600,"$33,583"
221,Washington College,246,169,>600,501-600,"$31,636"
224,Arizona State University (Tempe),246,401-500,111,44,"$12,947"
224,Beloit College,327,150,401-500,347,"$26,976"
224,Centre College,297,121,401-500,>600,"$26,249"
224,Dominican University of California,327,155,>600,183,"$34,694"
228,Hofstra University,352,206,199,280,"$32,566"
229,"Embry-Riddle Aeronautical University, Daytona Beach",269,270,>600,215,"$35,358"
229,Gonzaga University,187,251,401-500,>600,"$34,085"
229,Providence College,187,275,179,>600,"$36,099"
232,CUNY Bernard M. Baruch College,91,>600,>600,19,"$4,544"
232,University of Scranton,193,260,93,>600,"$36,392"
234,Ithaca College,261,219,111,>600,"$34,791"
234,Lewis & Clark College,314,124,>600,371,"$35,872"
234,Mercer University,383,229,155,190,"$21,268"
237,Pratt Institute,391,140,>600,144,"$43,068"
238,University of Kansas,308,260,179,347,"$18,365"
239,University of Oregon,239,401-500,199,215,"$15,100"
239,Southern Illinois University Carbondale,401-500,217,225,166,"$16,431"
239,Westminster College (Utah),344,165,111,501-600,"$23,608"
242,Cornell College,359,121,285,501-600,"$27,009"
242,University of Dayton,255,317,65,501-600,"$35,077"
242,College of Saint Benedict,160,343,250,>600,"$26,912"
245,Florida Institute of Technology,334,290,501-600,93,"$33,610"
245,New Jersey Institute of Technology,202,401-500,>600,63,"$17,972"
245,Saint Joseph's University,193,317,332,501-600,"$35,290"
245,University of Wyoming,278,251,38,>600,"$13,441"
249,Auburn University,182,401-500,49,501-600,"$22,613"
249,Oklahoma City University,401-500,177,38,309,"$27,234"
251,"University of California, Santa Cruz",207,401-500,>600,54,"$16,792"
251,Rutgers University-Newark,280,393,>600,12,"$12,020"
253,Albion College,337,183,179,501-600,"$19,913"
253,Jefferson (Philadelphia University + Thomas Jefferson University),334,200,501-600,347,"$28,510"
253,Saint John's University,193,275,401-500,>600,"$26,201"
256,University of Alabama at Birmingham,391,247,371,150,"$17,016"
256,Luther College,303,140,401-500,>600,"$26,013"
256,Molloy College,246,339,401-500,321,"$26,977"
